ID;NAME;BRAND ID;BRAND;GROUP ID;GROUP NAME;SUBGROUP ID;SUBGROUP NAME;SPECIAL;TRAFFICLIGHT VALUE;PYRAMID VALUE;CARBS;SUGAR;ENERGY;PROTEINS;SATURATED FAT;FAT;SALT;SODIUM;FIBER
1215;Confitura de grosella selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;264;0.7;0;0.2;0;0;NaN
1216;Confitura de guindas selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;264;0.3;0;0.1;0;0;NaN
2379;Confitura de higo negro;150;Helio's;8;Frutas;13;Derivados;No;3;5;60;59;248;0.7;0;0.3;0;0;1.1
1220;Confitura de higos diet;90;Hero;8;Frutas;13;Derivados;No;0;0;17.7;8.9;63;0.4;0.02;0.2;0;0;1.6
1219;Confitura de kiwi diet;90;Hero;8;Frutas;13;Derivados;No;0;0;13.8;5.2;48;0.5;0;0.2;0;0;1.2
2382;Confitura de melocotón;150;Helio's;8;Frutas;13;Derivados;No;3;5;60;59;244;0.4;0.01;0.1;0;0;0.9
1224;Confitura de melocotón diet;90;Hero;8;Frutas;13;Derivados;No;0;0;12.6;3.9;42;0.5;0;0.2;0;NaN;0.8
1206;Confitura de melocotones selectos;90;Hero;8;Frutas;13;Derivados;No;3;5;63;60;257;0.3;0;0.1;0;0;NaN
2380;Confitura de naranja amarga;150;Helio's;8;Frutas;13;Derivados;No;3;5;62;61;254;0.6;0.01;0.1;0;0;1.3
1225;Confitura de naranja amarga diet;90;Hero;8;Frutas;13;Derivados;No;0;0;12;3.1;38;0.4;0;0.1;0;NaN;0.8
1207;Confitura de naranjas amargas selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;264;0.3;0;0.1;0;0;NaN
1208;Confitura de naranjas dulces selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;264;0.3;0;0.1;0;0;NaN
1209;Confitura de tomates selectos;90;Hero;9;Verduras y hortalizas;13;Derivados;No;3;5;64;63;263;0.4;0;0.1;0;0;NaN
1217;Confitura de zarzamoras selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;271;0.6;0;0.5;NaN;NaN;NaN
3814;Copos 4 cereales;114;Biográ;7;Cereales;8;Cereales desayuno-Copos;No;1;0;75;3;367;11;0.6;4;0.02;0.008;3
